Contract,,Strike,Strike,Bal,,Expiry,Year,Month,Day,Date,poc,Previous,Settlement,Change
"OKLI   December,2020   Call    31/12/2020   1,420",,"1,420.00",1420,41,"OKLI   December,2020   Call    31/12/2020",31/12/2020,2020,12,31,2020-12-31,call,159.30,149.90,0.00
"OKLI   December,2020   Call    31/12/2020   1,440",,"1,440.00",1440,41,"OKLI   December,2020   Call    31/12/2020",31/12/2020,2020,12,31,2020-12-31,call,143.00,133.10,0.00
"OKLI   December,2020   Call    31/12/2020   1,460",,"1,460.00",1460,41,"OKLI   December,2020   Call    31/12/2020",31/12/2020,2020,12,31,2020-12-31,call,127.40,117.10,0.00
"OKLI   December,2020   Call    31/12/2020   1,480",,"1,480.00",1480,41,"OKLI   December,2020   Call    31/12/2020",31/12/2020,2020,12,31,2020-12-31,call,112.70,102.10,0.00
"OKLI   December,2020   Call    31/12/2020   1,500",,"1,500.00",1500,41,"OKLI   December,2020   Call    31/12/2020",31/12/2020,2020,12,31,2020-12-31,call,99.00,88.20,0.00
"OKLI   December,2020   Call    31/12/2020   1,520",,"1,520.00",1520,41,"OKLI   December,2020   Call    31/12/2020",31/12/2020,2020,12,31,2020-12-31,call,86.30,75.40,0.00
"OKLI   December,2020   Call    31/12/2020   1,540",,"1,540.00",1540,41,"OKLI   December,2020   Call    31/12/2020",31/12/2020,2020,12,31,2020-12-31,call,74.60,63.70,0.00
"OKLI   December,2020   Call    31/12/2020   1,560",,"1,560.00",1560,41,"OKLI   December,2020   Call    31/12/2020",31/12/2020,2020,12,31,2020-12-31,call,64.00,53.30,0.00
"OKLI   December,2020   Call    31/12/2020   1,580",,"1,580.00",1580,41,"OKLI   December,2020   Call    31/12/2020",31/12/2020,2020,12,31,2020-12-31,call,54.50,44.10,0.00
"OKLI   December,2020   Call    31/12/2020   1,600",,"1,600.00",1600,41,"OKLI   December,2020   Call    31/12/2020",31/12/2020,2020,12,31,2020-12-31,call,46.00,36.10,0.00
"OKLI   December,2020   Call    31/12/2020   1,620",,"1,620.00",1620,41,"OKLI   December,2020   Call    31/12/2020",31/12/2020,2020,12,31,2020-12-31,call,38.50,29.20,0.00
"OKLI   December,2020   Call    31/12/2020   1,640",,"1,640.00",1640,41,"OKLI   December,2020   Call    31/12/2020",31/12/2020,2020,12,31,2020-12-31,call,32.00,23.40,0.00
"OKLI  July,2020   Put   30/07/2020   1,390",,"1,390.00",1390,34,"OKLI  July,2020   Put   30/07/2020",30/07/2020,2020,07,30,2020-07-30,put,0.10,0.10,0.00
"OKLI  July,2020   Put   30/07/2020   1,400",,"1,400.00",1400,34,"OKLI  July,2020   Put   30/07/2020",30/07/2020,2020,07,30,2020-07-30,put,0.10,0.10,0.00
"OKLI  July,2020   Put   30/07/2020   1,410",,"1,410.00",1410,34,"OKLI  July,2020   Put   30/07/2020",30/07/2020,2020,07,30,2020-07-30,put,0.10,0.10,0.00
"OKLI  July,2020   Put   30/07/2020   1,420",,"1,420.00",1420,34,"OKLI  July,2020   Put   30/07/2020",30/07/2020,2020,07,30,2020-07-30,put,0.10,0.10,0.00
"OKLI  July,2020   Put   30/07/2020   1,430",,"1,430.00",1430,34,"OKLI  July,2020   Put   30/07/2020",30/07/2020,2020,07,30,2020-07-30,put,0.10,0.10,0.00
"OKLI  July,2020   Put   30/07/2020   1,440",,"1,440.00",1440,34,"OKLI  July,2020   Put   30/07/2020",30/07/2020,2020,07,30,2020-07-30,put,0.10,0.10,0.00
"OKLI  July,2020   Put   30/07/2020   1,450",,"1,450.00",1450,34,"OKLI  July,2020   Put   30/07/2020",30/07/2020,2020,07,30,2020-07-30,put,0.10,0.10,0.00
"OKLI  July,2020   Put   30/07/2020   1,460",,"1,460.00",1460,34,"OKLI  July,2020   Put   30/07/2020",30/07/2020,2020,07,30,2020-07-30,put,0.10,0.10,0.00
"OKLI  July,2020   Put   30/07/2020   1,470",,"1,470.00",1470,34,"OKLI  July,2020   Put   30/07/2020",30/07/2020,2020,07,30,2020-07-30,put,0.10,0.10,0.00
